"","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths","Malaria - number of reported deaths"
"Country"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","36","40","22","32","46","25","","0","","","","",""
"Algeria","0","0","1","0","0","","","","","","","1","2"
"Angola","5736","6909","8114","10530","9465","9812","10220","13768","12459","38598","14434","9473","9510"
"Argentina","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","11","36","37","47","154","228","508","501","505","574","598","470","484"
"Belize","0","0","0","0","0","0","1","0","1","","0","0","0"
"Benin","2261","1753","964","1375","918","1290","1226","322","944","560","707","468",""
"Bhutan","1","1","2","4","2","2","7","5","7","14","11","14","15"
"Bolivia (Plurinational State of)","0","0","0","0","0","0","0","0","3","1","4","0","11"
"Botswana","3","8","8","6","12","6","40","11","19","18","23","29",""
"Brazil","64","69","76","85","67","93","105","122","100","103","93","142","243"
"Burkina Faso","7963","7001","9024","7982","7834","6472","8083","5224","4205","4860","4032","4233",""
"Burundi","2263","2233","2677","1183","595","167","434","776","689","425","483","417","691"
"Côte d'Ivoire","1534","1389","1023","18156","1249","797","","","","","","",""
"Cabo Verde","0","4","1","2","2","2","8","2","4","4","2","0",""
"Cameroon","3209","3808","4536","4943","7673","1811","930","836","","","","",""
"Central African Republic","1442","858","526","667","456","578","865","668","859","417","","535","439"
"Chad","1359","1220","886","221","1018","617","837","558","13","1021","98","957","712"
"Colombia","20","18","23","12","22","19","53","28","25","24","40","58","41"
"Comoros","17","19","53","","47","20","56","92","28","","","",""
"Congo","623","892","","116","143","113","","","","","","",""
"Costa Rica","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","","","0","0","0","0","","","","","","",""
"Democratic Republic of the Congo","21601","23748","23476","21168","17940","14372","12970","15322","13613","989","2152","416","3856"
"Djibouti","0","0","0","0","","1","29","","","","","",""
"Dominican Republic","8","10","15","14","11","17","10","16","16","12","11","17","6"
"Ecuador","0","0","0","0","1","0","0","0","0","0","0","0","0"
"El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","77","52","30","23","4","","","","","","","",""
"Eritrea","30","12","27","23","19","42","47","49","24","79","86","133",""
"Ethiopia","1621","936","1581","1121","1169","991","1357","1086","3327","2138","1607","1681",""
"Gabon","134","74","182","197","156","216","238","353","466","692","1141","1693","2016"
"Gambia","289","440","151","240","403","424","150","426","153","192","259","275",""
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ghana","2855","3259","3859","3378","3889","4622","3125","2037","1575","2103","2376","1717","6108"
"Guatemala","0","0","0","0","0","","2","4","2","0","0","0","0"
"Guinea","979","743","735","586","441","472","","490","528","586","440","517","626"
"Guinea-Bissau","370","472","296","369","487","370","507","565","565","1137","780","635",""
"Guyana","3","3","18","11","11","","20","32","38","41","27","30",""
"Haiti","0","3","0","6","17","28","32","29","23","102","76","62","16"
"Honduras","1","2","3","1","2","","0","1","0","0","0","0","0"
"Iran (Islamic Republic of)","","0","0","","3","3","1","1","1","5","2","2","4"
